,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
119,119,49,1,road,119,,-934.0,-753.1840411840413,-693.0,-271.5,-328.2072072072074,-387.0,-67.83143208218007,-223.72463901774967
120,120,49,1,road,120,,-568.0,-474.0950840879691,-542.5,-630.0,-468.4825355756796,-315.5,-67.83143208218007,-223.72463901774967
121,121,49,1,road,121,,-383.0,-328.1190168175938,-224.5,-146.5,-172.89391979301445,-218.0,-67.83143208218007,-223.72463901774967
122,122,49,1,road,122,,-572.0,-612.8648648648647,-633.0,-293.5,-389.630630630631,-623.5,-67.83143208218007,-223.72463901774967
123,123,49,1,road,123,,-471.0,-542.3661518661522,-871.0,-504.0,-480.8513513513508,-678.5,-67.83143208218007,-223.72463901774967
124,124,49,1,road,124,,-591.5,-407.835927367056,-101.0,-496.5,-414.6005188067452,-347.5,-67.83143208218007,-223.72463901774967
125,125,49,1,road,125,,-390.5,-361.1862871927551,-396.5,-434.0,-397.909443725744,-316.5,-67.83143208218007,-223.72463901774967
126,126,49,1,road,126,,-435.0,-318.611543450065,-213.5,-373.0,-320.25616083009027,-262.0,-67.83143208218007,-223.72463901774967
127,127,49,1,road,127,,-464.5,-343.7584415584415,-234.0,-245.0,-273.29155844155866,-371.5,-67.83143208218007,-223.72463901774967
128,128,49,1,road,128,,-482.5,-326.7792792792791,-140.5,-377.5,-357.43050193050203,-247.0,-67.83143208218007,-223.72463901774967
129,129,49,1,road,129,,-400.5,-233.3579691516711,-46.0,-440.5,-298.1060411311055,-205.5,-67.83143208218007,-223.72463901774967
130,130,49,1,road,130,,-698.0,-431.013565891473,-183.5,-718.0,-592.3016795865633,-648.0,-67.83143208218007,-223.72463901774967
131,131,49,1,road,131,,-60.5,-92.6025806451612,0.0,-466.0,-496.65161290322567,-390.0,-67.83143208218007,-223.72463901774967
132,132,49,1,road,132,,-127.0,-64.8415265200515,25.0,-274.0,-312.8188874514876,-302.0,-67.83143208218007,-223.72463901774967
133,133,49,1,road,133,,-127.5,-78.5123216601819,-63.5,-493.5,-383.4345006485085,-255.5,-67.83143208218007,-223.72463901774967
134,134,49,1,road,134,,-370.0,-321.8698186528495,-277.5,-590.0,-526.8562176165801,-577.5,-67.83143208218007,-223.72463901774967
